Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Periodic Acid (HIO₄),20,34,Glass,33,Fume Hood Ventilation,"Safety Goggles, Full Body Protective Suit",Chemical Storage Room,Explosion Risk,MEDIUM RISK
Chloric Acid (HClO₃),55,29,Glass,20,High,"Safety Goggles, Full Body Protective Suit",Hazardous Material Room,Acid Burn,MEDIUM RISK
Nitric Acid (HNO₃),123,40,PVC (Polyvinyl Chloride),50,Poor,"Respirator Mask, Safety Goggles, Chemical-resistant Gloves, Lab Coat",Hazardous Material Room,Acid Burn,HIGH RISK
Pyruvic Acid (C₃H₄O₃),11,36,Polypropylene,10,Moderate,"Eye Wash Station Access, Safety Boots",Chemical Storage Room,Acid Spill,MEDIUM RISK
Succinic Acid (C₄H₆O₄),178,102,Glass,147,Fume Hood Ventilation,"Safety Goggles, Eye Wash Station Access, Lab Coat, Safety Boots, Gloves",Hazardous Material Room,Explosion Risk,CRITICAL RISK
Trifluoroacetic Acid (CF₃COOH),126,58,Polypropylene,86,Moderate,"Full Body Protective Suit, Respirator Mask, Safety Goggles, Lab Coat, Safety Boots",Laboratory,Acid Burn,HIGH RISK
Formic Acid (HCOOH),139,82,PVC (Polyvinyl Chloride),94,High,"Lab Coat, Respirator Mask, Safety Goggles",Factory Floor,Acid Burn,CRITICAL RISK
Pyruvic Acid (C₃H₄O₃),97,80,Carbon Steel (coated),68,Fume Hood Ventilation,"Safety Goggles, Gloves, Face Shield, Safety Boots",Factory Floor,Corrosion Damage,HIGH RISK
Oxalic Acid (C₂H₂O₄),102,59,Polypropylene,76,Poor,"Chemical-resistant Gloves, Gloves, Safety Goggles",Laboratory,Fire Hazard,HIGH RISK
Adipic Acid (C₆H₁₀O₄),13,17,Polypropylene,3,High,"Chemical Suit, Safety Boots",Hazardous Material Room,Fire Hazard,LOW RISK
Picric Acid (C₆H₃N₃O₇),19,27,Fiber-Reinforced Plastic (FRP),23,Good,"Respirator Mask, Full Body Protective Suit",Hazardous Material Room,Fire Hazard,MEDIUM RISK
Sulfuric Acid (H₂SO₄),111,53,Ceramic Containers,86,Good,"Eye Wash Station Access, Lab Coat, Respirator Mask, Face Shield",Factory Floor,Corrosion Damage,HIGH RISK
Perchloric Acid (HClO₄),465,109,Borosilicate Glass,113,Good,"Face Shield, Chemical Suit, Lab Coat, Safety Goggles",Underground Storage,Container Leakage,CRITICAL RISK
Methacrylic Acid (C₄H₆O₂),75,70,Borosilicate Glass,78,High,"Face Shield, Full Body Protective Suit",Underground Storage,Acid Burn,HIGH RISK
Peracetic Acid (C₂H₄O₃),11,23,Fiber-Reinforced Plastic (FRP),7,High,Safety Goggles,Factory Floor,Acid Burn,LOW RISK
Caproic Acid (C₆H₁₂O₂),220,103,Polypropylene,237,Industrial Ventilation System,"Eye Wash Station Access, Gloves, Safety Goggles, Chemical Suit, Respirator Mask",Underground Storage,Explosion Risk,CRITICAL RISK
Malic Acid (C₄H₆O₅),13,18,Stainless Steel,6,Moderate,"Safety Boots, Chemical Suit",Outdoor Storage,Container Leakage,LOW RISK
Oxalic Acid (C₂H₂O₄),245,109,Glass,154,High,Respirator Mask,Chemical Storage Room,Corrosion Damage,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),219,70,Polypropylene,117,Poor,Face Shield,Laboratory,Acid Spill,CRITICAL RISK
Pyruvic Acid (C₃H₄O₃),24,25,PTFE (Teflon-lined),37,Good,"Eye Wash Station Access, Chemical Suit, Lab Coat, Face Shield, Safety Goggles",Cold Storage Unit,Corrosion Damage,MEDIUM RISK
Oxalic Acid (C₂H₂O₄),445,80,Stainless Steel,234,Low,"Gloves, Chemical-resistant Gloves, Full Body Protective Suit",Cold Storage Unit,Container Leakage,CRITICAL RISK
Formic Acid (HCOOH),13,26,Fiber-Reinforced Plastic (FRP),10,Poor,"Chemical Suit, Gloves, Full Body Protective Suit",Factory Floor,Explosion Risk,LOW RISK
Maleic Acid (C₄H₄O₄),9,20,Polypropylene,8,High,"Lab Coat, Chemical-resistant Gloves",Chemical Storage Room,Container Leakage,LOW RISK
Fumaric Acid (C₄H₄O₄),44,35,Borosilicate Glass,33,Fume Hood Ventilation,"Eye Wash Station Access, Full Body Protective Suit, Lab Coat",Warehouse,Explosion Risk,MEDIUM RISK
Stearic Acid (C₁₈H₃₆O₂),186,94,Stainless Steel,178,Poor,"Chemical-resistant Gloves, Lab Coat, Safety Boots",Hazardous Material Room,None,CRITICAL RISK
Formic Acid (HCOOH),52,28,Carbon Steel (coated),12,Good,"Safety Goggles, Face Shield, Respirator Mask, Full Body Protective Suit",Warehouse,Acid Spill,MEDIUM RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),9,29,PVC (Polyvinyl Chloride),7,Industrial Ventilation System,"Eye Wash Station Access, Chemical-resistant Gloves",Hazardous Material Room,Acid Burn,LOW RISK
Hydrochloric Acid (HCl),84,58,PVC (Polyvinyl Chloride),90,Good,"Chemical Suit, Full Body Protective Suit, Safety Boots, Chemical-resistant Gloves",Factory Floor,Acid Spill,HIGH RISK
Maleic Acid (C₄H₄O₄),14,35,Polypropylene,31,Industrial Ventilation System,Safety Goggles,Cold Storage Unit,Toxic Gas Release,MEDIUM RISK
Formic Acid (HCOOH),11,19,PVC (Polyvinyl Chloride),9,High,Eye Wash Station Access,Warehouse,Corrosion Damage,LOW RISK
Carbonic Acid (H₂CO₃),344,111,PTFE (Teflon-lined),175,Poor,"Safety Goggles, Chemical-resistant Gloves",Outdoor Storage,Toxic Gas Release,CRITICAL RISK
Tannic Acid (C₇₆H₅₂O₄₆),13,18,HDPE Plastic,4,Fume Hood Ventilation,Face Shield,Hazardous Material Room,Corrosion Damage,LOW RISK
Oleic Acid (C₁₈H₃₄O₂),385,89,Carbon Steel (coated),151,Industrial Ventilation System,Safety Goggles,Underground Storage,Toxic Gas Release,CRITICAL RISK
Sulfuric Acid (H₂SO₄),14,27,Polypropylene,3,Fume Hood Ventilation,"Safety Boots, Eye Wash Station Access, Safety Goggles",Cold Storage Unit,Toxic Gas Release,LOW RISK
Adipic Acid (C₆H₁₀O₄),34,32,Stainless Steel,39,Good,"Chemical-resistant Gloves, Respirator Mask, Chemical Suit, Gloves, Safety Goggles",Hazardous Material Room,Toxic Gas Release,MEDIUM RISK
Gluconic Acid (C₆H₁₂O₇),9,27,Ceramic Containers,0,Fume Hood Ventilation,Lab Coat,Cold Storage Unit,Corrosion Damage,LOW RISK
Tannic Acid (C₇₆H₅₂O₄₆),13,29,Borosilicate Glass,7,Low,"Gloves, Safety Goggles, Safety Boots",Warehouse,Corrosion Damage,LOW RISK
Sulfamic Acid (H₃NSO₃),2,21,Stainless Steel,3,High,"Chemical Suit, Respirator Mask, Chemical-resistant Gloves",Hazardous Material Room,Container Leakage,LOW RISK
Carbonic Acid (H₂CO₃),257,119,Polypropylene,192,Low,"Gloves, Chemical-resistant Gloves, Lab Coat",Underground Storage,None,CRITICAL RISK
Gluconic Acid (C₆H₁₂O₇),94,59,Glass,44,Fume Hood Ventilation,"Safety Goggles, Gloves, Chemical Suit",Cold Storage Unit,Corrosion Damage,HIGH RISK
Arsenic Acid (H₃AsO₄),89,47,Borosilicate Glass,66,Industrial Ventilation System,"Chemical Suit, Chemical-resistant Gloves, Full Body Protective Suit, Safety Boots",Chemical Storage Room,Corrosion Damage,HIGH RISK
Hypochlorous Acid (HClO),143,48,Glass,87,Good,"Safety Goggles, Respirator Mask, Lab Coat",Outdoor Storage,Container Leakage,HIGH RISK
Gluconic Acid (C₆H₁₂O₇),190,94,HDPE Plastic,235,Poor,"Lab Coat, Full Body Protective Suit, Chemical-resistant Gloves, Gloves",Underground Storage,Acid Spill,CRITICAL RISK
Propionic Acid (C₃H₆O₂),3,17,Ceramic Containers,3,High,"Chemical-resistant Gloves, Gloves",Cold Storage Unit,Acid Spill,LOW RISK
Tartaric Acid (C₄H₆O₆),102,64,Fiber-Reinforced Plastic (FRP),93,Moderate,"Safety Goggles, Chemical-resistant Gloves",Underground Storage,Acid Burn,HIGH RISK
Pyruvic Acid (C₃H₄O₃),45,62,Borosilicate Glass,31,Good,"Full Body Protective Suit, Chemical-resistant Gloves, Respirator Mask, Safety Goggles",Cold Storage Unit,Corrosion Damage,HIGH RISK
Nitric Acid (HNO₃),3,28,Glass,9,Good,"Chemical-resistant Gloves, Full Body Protective Suit, Eye Wash Station Access, Face Shield, Chemical Suit",Hazardous Material Room,Toxic Gas Release,LOW RISK
Perchloric Acid (HClO₄),123,114,PVC (Polyvinyl Chloride),189,Industrial Ventilation System,"Chemical Suit, Gloves, Face Shield, Full Body Protective Suit",Factory Floor,Explosion Risk,CRITICAL RISK
Picric Acid (C₆H₃N₃O₇),9,27,HDPE Plastic,6,Industrial Ventilation System,"Safety Boots, Chemical-resistant Gloves",Chemical Storage Room,Acid Burn,LOW RISK
Perchloric Acid (HClO₄),56,37,Borosilicate Glass,18,Poor,"Chemical Suit, Eye Wash Station Access, Safety Goggles, Full Body Protective Suit",Factory Floor,None,MEDIUM RISK
Oleic Acid (C₁₈H₃₄O₂),10,28,HDPE Plastic,12,Low,"Face Shield, Chemical Suit, Full Body Protective Suit, Lab Coat, Chemical-resistant Gloves",Warehouse,Corrosion Damage,LOW RISK
Iodic Acid (HIO₃),3,24,Borosilicate Glass,11,Low,"Gloves, Chemical Suit, Safety Boots",Hazardous Material Room,Corrosion Damage,LOW RISK
Salicylic Acid (C₇H₆O₃),38,42,PTFE (Teflon-lined),26,Industrial Ventilation System,Full Body Protective Suit,Chemical Storage Room,Acid Spill,MEDIUM RISK
Acetic Acid (CH₃COOH),3,19,Carbon Steel (coated),7,Poor,"Chemical Suit, Eye Wash Station Access, Respirator Mask, Safety Boots, Face Shield",Outdoor Storage,Acid Burn,LOW RISK
Sulfuric Acid (H₂SO₄),93,49,PTFE (Teflon-lined),63,Good,"Chemical Suit, Face Shield",Underground Storage,Explosion Risk,HIGH RISK
Peracetic Acid (C₂H₄O₃),104,71,Ceramic Containers,59,Industrial Ventilation System,"Eye Wash Station Access, Safety Goggles, Lab Coat",Underground Storage,Toxic Gas Release,HIGH RISK
Tannic Acid (C₇₆H₅₂O₄₆),395,70,Borosilicate Glass,127,Low,"Face Shield, Respirator Mask",Factory Floor,Toxic Gas Release,CRITICAL RISK
Hydrofluoric Acid (HF),8,16,PTFE (Teflon-lined),8,Industrial Ventilation System,"Respirator Mask, Chemical Suit, Eye Wash Station Access, Safety Boots",Factory Floor,Acid Spill,LOW RISK
Oleic Acid (C₁₈H₃₄O₂),44,29,Fiber-Reinforced Plastic (FRP),16,Good,"Respirator Mask, Safety Goggles, Face Shield",Hazardous Material Room,Acid Burn,MEDIUM RISK
Tartaric Acid (C₄H₆O₆),11,16,Borosilicate Glass,9,Poor,"Chemical-resistant Gloves, Full Body Protective Suit, Face Shield, Safety Goggles, Respirator Mask",Cold Storage Unit,Toxic Gas Release,LOW RISK
Butyric Acid (C₄H₈O₂),1,20,PVC (Polyvinyl Chloride),11,Industrial Ventilation System,"Eye Wash Station Access, Face Shield, Full Body Protective Suit",Cold Storage Unit,Acid Spill,LOW RISK
Malic Acid (C₄H₆O₅),22,42,Carbon Steel (coated),29,Low,"Eye Wash Station Access, Chemical-resistant Gloves",Cold Storage Unit,Container Leakage,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),7,23,Borosilicate Glass,13,Fume Hood Ventilation,"Chemical Suit, Safety Goggles, Respirator Mask, Lab Coat, Gloves",Factory Floor,None,LOW RISK
Oxalic Acid (C₂H₂O₄),43,38,Glass,15,Industrial Ventilation System,Gloves,Chemical Storage Room,Toxic Gas Release,MEDIUM RISK
Valeric Acid (C₅H₁₀O₂),11,26,PTFE (Teflon-lined),0,Moderate,"Chemical Suit, Eye Wash Station Access",Outdoor Storage,Explosion Risk,LOW RISK
Nitric Acid (HNO₃),1,23,Polypropylene,12,Fume Hood Ventilation,"Eye Wash Station Access, Chemical-resistant Gloves, Lab Coat, Safety Goggles",Laboratory,Fire Hazard,LOW RISK
Lactic Acid (C₃H₆O₃),327,115,Polypropylene,143,Poor,"Lab Coat, Safety Boots, Face Shield, Chemical Suit, Gloves",Warehouse,Toxic Gas Release,CRITICAL RISK
Boric Acid (H₃BO₃),214,94,Glass,220,Industrial Ventilation System,"Face Shield, Safety Goggles, Respirator Mask, Full Body Protective Suit, Chemical Suit",Cold Storage Unit,Fire Hazard,CRITICAL RISK
Chloric Acid (HClO₃),115,67,Fiber-Reinforced Plastic (FRP),66,Industrial Ventilation System,Face Shield,Warehouse,Acid Spill,HIGH RISK
Boric Acid (H₃BO₃),7,17,Fiber-Reinforced Plastic (FRP),15,Fume Hood Ventilation,Chemical Suit,Outdoor Storage,Corrosion Damage,LOW RISK
Citric Acid (C₆H₈O₇),4,17,Ceramic Containers,8,Low,"Face Shield, Full Body Protective Suit, Safety Boots, Eye Wash Station Access",Hazardous Material Room,Acid Spill,LOW RISK
Phosphoric Acid (H₃PO₄),31,31,Polypropylene,27,Fume Hood Ventilation,"Chemical Suit, Safety Boots",Underground Storage,Corrosion Damage,MEDIUM RISK
Acrylic Acid (C₃H₄O₂),10,38,Fiber-Reinforced Plastic (FRP),27,High,"Respirator Mask, Face Shield",Factory Floor,Acid Spill,MEDIUM RISK
Malic Acid (C₄H₆O₅),7,20,Fiber-Reinforced Plastic (FRP),14,Industrial Ventilation System,"Face Shield, Safety Goggles",Hazardous Material Room,Container Leakage,LOW RISK
Hydrochloric Acid (HCl),9,23,PTFE (Teflon-lined),6,Low,Full Body Protective Suit,Outdoor Storage,None,LOW RISK
Benzoic Acid (C₇H₆O₂),134,77,Fiber-Reinforced Plastic (FRP),113,Poor,Safety Goggles,Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Thiocyanic Acid (HSCN),23,41,PVC (Polyvinyl Chloride),20,Fume Hood Ventilation,"Chemical-resistant Gloves, Face Shield, Safety Boots",Underground Storage,Acid Burn,MEDIUM RISK
Picric Acid (C₆H₃N₃O₇),57,33,Ceramic Containers,29,Good,"Face Shield, Safety Boots, Safety Goggles, Chemical-resistant Gloves",Outdoor Storage,Fire Hazard,MEDIUM RISK
Butyric Acid (C₄H₈O₂),18,45,Fiber-Reinforced Plastic (FRP),17,Industrial Ventilation System,"Gloves, Eye Wash Station Access, Chemical-resistant Gloves, Lab Coat",Chemical Storage Room,Explosion Risk,MEDIUM RISK
Tartaric Acid (C₄H₆O₆),2,19,Carbon Steel (coated),4,Fume Hood Ventilation,"Safety Goggles, Respirator Mask, Face Shield",Chemical Storage Room,Fire Hazard,LOW RISK
Stearic Acid (C₁₈H₃₆O₂),15,30,HDPE Plastic,10,Moderate,Chemical-resistant Gloves,Warehouse,Acid Burn,LOW RISK
Thiocyanic Acid (HSCN),402,85,PTFE (Teflon-lined),199,High,Chemical Suit,Warehouse,Acid Burn,CRITICAL RISK
Maleic Acid (C₄H₄O₄),91,74,PTFE (Teflon-lined),91,Poor,"Chemical Suit, Safety Goggles, Safety Boots, Full Body Protective Suit, Lab Coat",Outdoor Storage,Container Leakage,HIGH RISK
Citric Acid (C₆H₈O₇),339,111,Carbon Steel (coated),160,Low,"Safety Boots, Face Shield, Full Body Protective Suit, Respirator Mask, Lab Coat",Hazardous Material Room,Explosion Risk,CRITICAL RISK
Boric Acid (H₃BO₃),7,18,Borosilicate Glass,9,Poor,"Respirator Mask, Safety Boots",Outdoor Storage,Acid Spill,LOW RISK
Formic Acid (HCOOH),123,120,Borosilicate Glass,142,Good,"Safety Boots, Safety Goggles",Hazardous Material Room,Explosion Risk,CRITICAL RISK
Chromic Acid (H₂CrO₄),13,28,Ceramic Containers,0,Poor,"Full Body Protective Suit, Lab Coat, Gloves",Factory Floor,Container Leakage,LOW RISK
Gluconic Acid (C₆H₁₂O₇),306,108,Fiber-Reinforced Plastic (FRP),95,Moderate,"Safety Boots, Chemical Suit, Safety Goggles, Gloves",Hazardous Material Room,Container Leakage,CRITICAL RISK
Acrylic Acid (C₃H₄O₂),59,32,Glass,32,High,"Face Shield, Safety Boots, Lab Coat, Gloves, Chemical-resistant Gloves",Chemical Storage Room,Container Leakage,MEDIUM RISK
Tartaric Acid (C₄H₆O₆),145,68,Borosilicate Glass,84,High,"Lab Coat, Face Shield, Safety Goggles, Full Body Protective Suit, Safety Boots",Outdoor Storage,Container Leakage,HIGH RISK
Perchloric Acid (HClO₄),58,70,PTFE (Teflon-lined),41,Poor,"Respirator Mask, Safety Boots, Face Shield, Lab Coat, Safety Goggles",Cold Storage Unit,Explosion Risk,HIGH RISK
Bromic Acid (HBrO₃),44,80,HDPE Plastic,75,Moderate,"Full Body Protective Suit, Face Shield, Lab Coat",Hazardous Material Room,Explosion Risk,HIGH RISK
Hypochlorous Acid (HClO),13,22,Polypropylene,6,Low,"Chemical Suit, Full Body Protective Suit",Hazardous Material Room,Corrosion Damage,LOW RISK
Hypochlorous Acid (HClO),205,116,Stainless Steel,81,Poor,"Eye Wash Station Access, Lab Coat",Factory Floor,None,CRITICAL RISK
Tartaric Acid (C₄H₆O₆),41,29,Ceramic Containers,12,Industrial Ventilation System,"Safety Boots, Respirator Mask",Laboratory,Corrosion Damage,MEDIUM RISK
Palmitic Acid (C₁₆H₃₂O₂),278,118,Stainless Steel,223,High,"Face Shield, Respirator Mask, Full Body Protective Suit, Eye Wash Station Access, Chemical Suit",Underground Storage,Explosion Risk,CRITICAL RISK
Sulfamic Acid (H₃NSO₃),154,46,PTFE (Teflon-lined),61,Poor,"Gloves, Face Shield, Eye Wash Station Access, Chemical-resistant Gloves",Hazardous Material Room,Toxic Gas Release,HIGH RISK
Succinic Acid (C₄H₆O₄),255,92,Stainless Steel,195,Low,"Safety Boots, Gloves, Lab Coat",Underground Storage,Acid Burn,CRITICAL RISK
Hydrochloric Acid (HCl),125,66,Stainless Steel,58,Moderate,"Chemical-resistant Gloves, Face Shield",Warehouse,None,HIGH RISK
Citric Acid (C₆H₈O₇),4,30,Carbon Steel (coated),13,High,"Lab Coat, Full Body Protective Suit, Chemical Suit",Outdoor Storage,Fire Hazard,LOW RISK
Hypochlorous Acid (HClO),346,76,Stainless Steel,89,High,"Safety Goggles, Chemical Suit, Eye Wash Station Access, Face Shield",Hazardous Material Room,Explosion Risk,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),15,26,Ceramic Containers,13,High,"Lab Coat, Safety Boots, Full Body Protective Suit, Face Shield",Chemical Storage Room,Acid Spill,LOW RISK
Methacrylic Acid (C₄H₆O₂),206,76,HDPE Plastic,221,Moderate,"Respirator Mask, Chemical-resistant Gloves",Hazardous Material Room,Corrosion Damage,CRITICAL RISK
Acrylic Acid (C₃H₄O₂),140,71,Stainless Steel,41,Good,"Lab Coat, Safety Boots, Eye Wash Station Access",Cold Storage Unit,Toxic Gas Release,HIGH RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),39,38,HDPE Plastic,14,Poor,"Safety Goggles, Eye Wash Station Access, Chemical-resistant Gloves, Safety Boots",Outdoor Storage,Fire Hazard,MEDIUM RISK
Periodic Acid (HIO₄),28,35,Fiber-Reinforced Plastic (FRP),26,Low,"Lab Coat, Chemical Suit, Eye Wash Station Access, Face Shield, Gloves",Cold Storage Unit,None,MEDIUM RISK
Thiocyanic Acid (HSCN),13,26,Polypropylene,0,Good,Eye Wash Station Access,Laboratory,Corrosion Damage,LOW RISK
Pyruvic Acid (C₃H₄O₃),1,27,Ceramic Containers,7,Low,"Eye Wash Station Access, Safety Boots",Underground Storage,Explosion Risk,LOW RISK
Lactic Acid (C₃H₆O₃),467,118,PVC (Polyvinyl Chloride),231,Low,"Chemical Suit, Safety Boots, Gloves, Eye Wash Station Access",Warehouse,Fire Hazard,CRITICAL RISK
Acrylic Acid (C₃H₄O₂),11,24,PVC (Polyvinyl Chloride),5,High,"Safety Boots, Respirator Mask, Eye Wash Station Access, Lab Coat, Full Body Protective Suit",Warehouse,Toxic Gas Release,LOW RISK
Tartaric Acid (C₄H₆O₆),8,25,Glass,11,Industrial Ventilation System,"Eye Wash Station Access, Gloves",Outdoor Storage,Explosion Risk,LOW RISK
Benzoic Acid (C₇H₆O₂),118,67,Polypropylene,41,Industrial Ventilation System,"Face Shield, Chemical Suit, Respirator Mask",Laboratory,Acid Spill,HIGH RISK
Lactic Acid (C₃H₆O₃),11,19,HDPE Plastic,15,Industrial Ventilation System,"Safety Boots, Face Shield, Respirator Mask, Safety Goggles, Chemical Suit",Cold Storage Unit,Acid Burn,LOW RISK
Citric Acid (C₆H₈O₇),68,42,Carbon Steel (coated),84,Poor,Lab Coat,Factory Floor,Explosion Risk,HIGH RISK
Nitric Acid (HNO₃),43,36,PTFE (Teflon-lined),13,Fume Hood Ventilation,"Chemical-resistant Gloves, Lab Coat, Gloves, Face Shield, Safety Boots",Laboratory,Toxic Gas Release,MEDIUM RISK
Maleic Acid (C₄H₄O₄),49,80,Polypropylene,73,High,"Full Body Protective Suit, Chemical-resistant Gloves, Chemical Suit, Gloves, Lab Coat",Underground Storage,None,HIGH RISK
Fumaric Acid (C₄H₄O₄),75,45,Stainless Steel,66,Industrial Ventilation System,"Safety Goggles, Full Body Protective Suit, Respirator Mask, Safety Boots",Warehouse,Acid Spill,HIGH RISK
Monochloroacetic Acid (C₂H₃ClO₂),131,47,HDPE Plastic,38,Moderate,"Chemical Suit, Lab Coat, Gloves",Cold Storage Unit,None,HIGH RISK
Perchloric Acid (HClO₄),160,71,PVC (Polyvinyl Chloride),116,Fume Hood Ventilation,"Gloves, Respirator Mask, Lab Coat, Full Body Protective Suit, Safety Boots",Laboratory,Fire Hazard,CRITICAL RISK
Monochloroacetic Acid (C₂H₃ClO₂),152,52,PVC (Polyvinyl Chloride),80,Low,"Full Body Protective Suit, Safety Boots, Face Shield",Cold Storage Unit,Explosion Risk,HIGH RISK
Formic Acid (HCOOH),27,37,Carbon Steel (coated),38,Fume Hood Ventilation,Lab Coat,Warehouse,Acid Burn,MEDIUM RISK
Periodic Acid (HIO₄),28,26,Glass,37,Poor,"Safety Boots, Chemical Suit, Respirator Mask, Safety Goggles",Factory Floor,Explosion Risk,MEDIUM RISK
Chromic Acid (H₂CrO₄),9,17,PVC (Polyvinyl Chloride),2,Good,Eye Wash Station Access,Chemical Storage Room,Acid Spill,LOW RISK
Adipic Acid (C₆H₁₀O₄),415,79,HDPE Plastic,196,Industrial Ventilation System,"Face Shield, Chemical-resistant Gloves, Full Body Protective Suit, Safety Goggles",Factory Floor,Container Leakage,CRITICAL RISK
Bromic Acid (HBrO₃),2,15,Carbon Steel (coated),15,Poor,"Lab Coat, Eye Wash Station Access",Laboratory,Acid Spill,LOW RISK
Benzoic Acid (C₇H₆O₂),11,32,Glass,31,High,"Eye Wash Station Access, Face Shield, Gloves, Safety Goggles, Full Body Protective Suit",Cold Storage Unit,Container Leakage,MEDIUM RISK
